type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.363444146	36.716027771	1809.4	#55ff00	1.00	Contours	
T	-1.364154838	36.716042321	1809.0				
T	-1.364995930	36.716082521	1811.0				
T	-1.365792570	36.715977644	1804.7				
T	-1.366598931	36.715884414	1806.3				
T	-1.367445546	36.715934148	1817.1				
T	-1.368173800	36.715972058	1819.1				
T	-1.369107190	36.716078908	1815.3				
T	-1.369829617	36.716108670	1815.3				
T	-1.371055183	36.716078615	1812.1				
T	-1.371457369	36.716029687	1810.4				
T	-1.371857545	36.715976682	1807.9				
T	-1.372860342	36.715847107	1799.1				
T	-1.373670863	36.715756733	1794.0				
T	-1.374502044	36.715706145	1799.0				
T	-1.375219100	36.715643613	1805.9				
T	-1.376033671	36.715562646	1805.7				
T	-1.376632689	36.715396837	1804.6				
T	-1.377826706	36.715130767	1795.9				
T	-1.378429934	36.715048472	1786.2				
T	-1.379352968	36.714972059	1786.0				
T	-1.380272647	36.714888336	1791.8				
T	-1.380885481	36.714832552	1791.8				
T	-1.381395816	36.714785371	1794.4				
T	-1.382215348	36.714721966	1798.5				
T	-1.382826761	36.714664173	1802.1				
T	-1.383224273	36.714525296	1805.7				
T	-1.383733622	36.714477463	1807.3				
T	-1.384344669	36.714420025	1809.8				
T	-1.384853643	36.714371639	1815.1				
T	-1.385677926	36.714394440	1815.7				
T	-1.386196813	36.714446331	1814.4				
T	-1.386705469	36.714397853	1814.1				
T	-1.387314931	36.714333371	1815.2				
T	-1.387731343	36.714389423	1814.0				
T	-1.388644612	36.714278982	1809.8				
T	-1.389061012	36.714329671	1805.9				
T	-1.389568921	36.714266691	1802.5				
T	-1.389996250	36.714420393	1798.5				
T	-1.390504957	36.714363799	1793.5				
T	-1.391227638	36.714379267	1788.2				
T	-1.391736768	36.714318686	1786.3				
T	-1.392562324	36.714321414	1784.4				
T	-1.392980316	36.714381483	1783.2				
T	-1.393398349	36.714441070	1782.1				
T	-1.393929093	36.714585433	1780.4				
T	-1.394551628	36.714617397	1780.1				
T	-1.394867342	36.714694171	1780.2				
T	-1.395896038	36.714700692	1781.9				
T	-1.396212373	36.714769593	1780.8				
T	-1.396743176	36.714918190	1779.3				
T	-1.397160815	36.714981362	1779.6				
T	-1.397995791	36.715108272	1782.2				
T	-1.398199327	36.715088862	1783.2				
T	-1.398942803	36.715326316	1785.3				
T	-1.399146082	36.715307764	1786.1				
T	-1.399675157	36.715464188	1787.7				
T	-1.400305904	36.715610326	1790.0				
T	-1.400825102	36.715661769	1792.0				
T	-1.401355012	36.715813742	1791.4				
T	-1.402088470	36.715945346	1791.5				
T	-1.402302770	36.716025659	1791.6				
T	-1.401418478	36.716420861	1791.0				
T	-1.400807871	36.716481328	1788.8				
T	-1.400095670	36.716550889	1785.8				
T	-1.399689260	36.716588002	1784.4				
T	-1.399181095	36.716634407	1783.0				
T	-1.398571074	36.716690124	1781.5				
T	-1.398255411	36.716616888	1780.6				
T	-1.397602564	36.716269912	1777.9				
T	-1.397163742	36.716005197	1777.4				
T	-1.396725137	36.715738902	1776.5				
T	-1.396081852	36.715499350	1776.9				
T	-1.395337806	36.715260478	1778.0				
T	-1.394919669	36.715199814	1777.8				
T	-1.394196025	36.715165677	1777.4				
T	-1.393460938	36.715047201	1782.0				
T	-1.392747456	36.715121719	1782.7				
T	-1.391932147	36.715204225	1783.3				
T	-1.391422663	36.715264631	1784.0				
T	-1.391015253	36.715312926	1784.7				
T	-1.390516518	36.715473018	1786.1				
T	-1.389712713	36.715668353	1790.2				
T	-1.389204707	36.715734642	1795.3				
T	-1.388494092	36.715826226	1803.9				
T	-1.388291067	36.715851024	1806.0				
T	-1.387793166	36.716006986	1807.5				
T	-1.387092096	36.716184772	1806.7				
T	-1.386908030	36.716399509	1803.9				
T	-1.386195009	36.716466131	1798.7				
T	-1.385410037	36.716843131	1790.6				
T	-1.384315335	36.717235243	1785.3				
T	-1.384025233	36.717448146	1779.9				
T	-1.383233398	36.717809099	1771.9				
T	-1.382634668	36.717983831	1772.1				
T	-1.382240357	36.718138220	1773.9				
T	-1.381067317	36.718696437	1780.5				
T	-1.380266844	36.718966425	1776.9				
T	-1.379453535	36.719130797	1772.1				
T	-1.379054985	36.719272066	1771.7				
T	-1.378559537	36.719435710	1774.6				
T	-1.378064758	36.719599984	1779.1				
T	-1.377457831	36.719672177	1784.2				
T	-1.376548166	36.719780379	1788.8				
T	-1.375940803	36.719849705	1789.7				
T	-1.375139806	36.720040395	1794.6				
T	-1.374531409	36.720106883	1795.1				
T	-1.374024543	36.720162280	1795.7				
T	-1.373314619	36.720238976	1798.0				
T	-1.372603632	36.720313803	1799.0				
T	-1.371791411	36.720399552	1802.0				
T	-1.371182715	36.720464333	1803.6				
T	-1.370470605	36.720537085	1802.4				
T	-1.369757583	36.720608538	1797.3				
T	-1.369227086	36.720632208	1792.2				
T	-1.368596476	36.720669888	1788.4				
T	-1.368088012	36.720723334	1788.9				
T	-1.367598001	36.720798936	1794.4				
T	-1.367114523	36.720881088	1802.1				
T	-1.366607715	36.720845284	1808.7				
T	-1.365989623	36.720808429	1814.4				
T	-1.365260233	36.720680922	1818.1				
T	-1.364743186	36.720632905	1821.0				
T	-1.364013151	36.720504535	1824.0				
T	-1.363688398	36.720333251	1822.7				
T	-1.363657316	36.720028067	1822.1				
T	-1.363767323	36.719092274	1820.9				
T	-1.364271068	36.718189885	1809.0				
T	-1.364754254	36.717171001	1799.3				
T	-1.365412210	36.716230269	1806.2				
T	-1.366061641	36.715546605	1807.0				
T	-1.366836116	36.714972547	1814.8				
T	-1.367583077	36.714273315	1815.9				
T	-1.368432620	36.713650270	1803.0				
T	-1.369192018	36.713139076	1799.6				
T	-1.370690061	36.712514777	1814.9				
T	-1.371305016	36.712461344	1818.1				
T	-1.371919675	36.712407943	1820.2				
T	-1.372329296	36.712372356	1821.1				
T	-1.373147253	36.712299290	1824.6				
T	-1.374162039	36.712193395	1827.0				
T	-1.374970970	36.712101792	1823.1				
T	-1.375375576	36.712055972	1820.9				
T	-1.376185001	36.711964145	1815.4				
T	-1.376787626	36.711883441	1810.3				
T	-1.377294547	36.711827319	1804.2				
T	-1.378120672	36.711997853	1798.3				
T	-1.379496495	36.712230667	1811.6				
T	-1.379924527	36.712394266	1813.0				
T	-1.380658387	36.712529449	1810.5				
T	-1.381290272	36.712674483	1810.0				
T	-1.381922133	36.712819883	1811.2				
T	-1.382563961	36.713065919	1811.5				
T	-1.383205478	36.713310959	1811.7				
T	-1.383948444	36.713545253	1813.4				
T	-1.384691262	36.713779243	1815.9				
T	-1.385423778	36.713912108	1818.9				
T	-1.386268085	36.714135609	1817.2				
T	-1.387000141	36.714266269	1815.5				
T	-1.387934377	36.714366370	1813.5				
T	-1.388766671	36.714467767	1807.7				
T	-1.389599862	36.714569180	1800.5				
T	-1.390444426	36.714775070	1791.9				
T	-1.391289732	36.714977448	1785.5				
T	-1.392023667	36.715092566	1783.4				
T	-1.392768265	36.715324415	1782.2				
T	-1.393502708	36.715450667	1779.9				
T	-1.394033901	36.715591124	1776.6				
T	-1.394677233	36.715830574	1774.4				
T	-1.395299316	36.715872036	1773.9				
T	-1.395941876	36.716119384	1773.7				
T	-1.396471966	36.716275093	1775.3				
T	-1.397125130	36.716621376	1776.1				
T	-1.397858873	36.716756266	1778.1				
T	-1.398490507	36.716901596	1780.7				
T	-1.399244583	36.717240877	1779.8				
T	-1.399774006	36.717396525	1780.7				
T	-1.400191095	36.717460371	1781.4				
T	-1.401331899	36.717552457	1783.6				
T	-1.401739062	36.717512096	1785.2				
T	-1.402463249	36.717539301	1787.7				
T	-1.402769113	36.717507520	1787.3				
T	-1.403188244	36.717564450	1786.2				
T	-1.403494578	36.717531524	1785.4				
T	-1.402758375	36.717406636	1787.7				
T	-1.401615989	36.717320071	1786.3				
T	-1.400271619	36.717248381	1782.7				
T	-1.398511639	36.717103799	1780.0				
T	-1.396668518	36.717175358	1774.8				
T	-1.395038265	36.717328474	1766.4				
T	-1.393303795	36.717510182	1775.0				
T	-1.391671842	36.717683609	1770.0				
T	-1.390141663	36.717829312	1767.9				
T	-1.388814707	36.717955664	1765.7				
T	-1.387489713	36.718102172	1771.4				
T	-1.386265538	36.718226239	1772.1				
T	-1.385040289	36.718345614	1773.7				
T	-1.383918309	36.718460686	1767.9				
T	-1.382902860	36.718581588	1771.1				
T	-1.380873668	36.718818295	1780.2				
T	-1.379950800	36.718895913	1777.8				
T	-1.378923726	36.718981154	1774.6				
T	-1.378110217	36.719069601	1774.8				
T	-1.377200418	36.719179708	1778.9				
T	-1.376286714	36.719280391	1781.2				
T	-1.375267813	36.719384297	1782.9				
T	-1.374356822	36.719488258	1785.6				
T	-1.373448716	36.719595692	1794.5				
T	-1.372440806	36.719715246	1799.2				
T	-1.371526712	36.719811101	1802.6				
T	-1.370611109	36.719904647	1805.9				
T	-1.369492058	36.720018968	1803.9				
T	-1.368560897	36.720092396	1796.6				
T	-1.367519886	36.720168386	1788.9				
T	-1.366646625	36.720313337	1804.5				
T	-1.365735665	36.720322018	1815.3				
T	-1.364813234	36.720316896	1820.5				
